Identifior,FileAttachments,MediaRevisions,EmbeddedFlash,EmbeddedVideo,ImageEditing,SVGEditing,MindMapEditing,MediaSearch
PmWiki,No,X3,X3,N_A,X3,X3,Pagenamepagenamelinktextlinktextpagenamepagenameanchor,Http______http_____linktextlinktexthttp_____
BrainKeeper,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Ikiwiki,Filenamesonly,X3,X3,N_A,Yes,Yes,Internal,Linktexthttp__example_org
BLADEWiki,N_A,N_A,N_A,N_A,N_A,N_A,Linktoapage,Http__www_linkme_com
Wicked,No,N_A,N_A,N_A,N_A,ALinknamespacelinklinkWithaTitle,Http__example_comhttp__example_comWithaTitle,Level1HeadingLevel2HeadingLevel3HeadingLevel4HeadingLevel5HeadingLevel6Heading
CanvasWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,Contents,No,X3,Yes,Yes,Yes,UseGUIlinkdialogueorbyhandToNamedPagesWithinWikilinkAcrossWikiWikiNamelinkGloballinkToExistingPages_ParagraphsWikiNameIDe_g_Marketing64orMarketing64_03ToViewsuseGUIdialogueorRapidSelector_linklinktextWikiNameViewNamee_g__linkMarketingDashboardPagemarketingnp,WYSIWYGeditorlinkdialoglinktofullorpartialurlpathe_g_www_tractionsoftware_comisOKorHTMLintextonlyeditor_
Incentive,Yes,Yes,Yes,Yes,No,No,No,Contents
WalaWiki,N_A,Monospaced_,N_A,N_A,N_A,Http__p1k3_com_wheat_pngImageURLtoinclude_,N_A,Blockquotedtext_
WikiSH,N_A,N_A,Inlinehttp__www_somewhere_org_image_pngCenteredchttp__www_somewhere_org_image_pngRightfloatrhttp__www_somewhere_org_image_pngLeftfloatlhttp__www_somewhere_org_image_png,N_A,N_A,Sectionsubsectionsubsubsection,X1Section1subsection1subsubsection,N_A
PhpWiki,No,Yes,Yes,Yes,Yes,No,WikiWordorsomelinkdescpagename,Http__someserver_someurldescexturl
Sycamore,Filenamesonly,Yes,No,No,No,No,InternalLinkInternalLinkalternatetext,Http__example_comhttp__example_comhttp__example_com_alternatetext
MicKI,Thereare_italicwords_inhere_,N_A,N_A,N_A,N_A,N_A,BeholdimgThePic_pngapicture_,N_A
PersonalPPCWiki,No,Yes,No,Yes,No,PageNamepagenameDescription,Http__pagename_comhttp__pagename_comDescription,N_A
Foswiki,Contents,X3,X3,X3,X3,X3,WikiWordautolinkOtherweb_WikiWordSpacedtextWikiWordlabel,ExternalLinkhttp__foswiki_org_autolinkhttp__foswiki_org_label
